frame,assim_h_abs,assim_h_sinal,magnitude
10,1.362370,-0.000086,8.693774
20,7.925505,-0.003983,43.780480
30,12.485350,-0.023021,106.432694
40,16.764919,-0.114714,173.392941
50,21.746948,-0.349905,237.880932
60,28.656974,-0.795900,297.537700
70,37.055493,-1.400324,348.456806
80,47.905479,-2.168110,392.670529
90,62.118353,-2.775284,434.955525
100,77.123216,-2.234460,482.432991
110,92.291740,2.061144,532.439986
120,105.071527,12.546377,583.639974
130,113.551216,29.099002,633.534258
140,120.949374,47.550175,683.637293
150,127.394962,64.412889,732.305920
160,130.452377,77.120670,773.204278
170,131.172490,84.566355,803.603801
180,132.214322,86.944687,820.914895
190,131.539836,87.356514,829.119642
200,127.375627,87.778733,838.990524
