frame,assim_h_abs,assim_h_sinal,magnitude
10,1.387911,-0.000058,8.624309
20,8.190672,-0.002739,43.408490
30,14.238784,-0.006569,106.776101
40,19.037874,-0.022679,175.157918
50,24.706038,0.120213,239.389812
60,32.592985,0.681929,297.031232
70,38.147620,1.749130,347.339421
80,45.665993,3.003349,391.888648
90,57.292678,3.706794,434.154876
100,68.426386,2.777284,479.677498
110,78.927133,-1.309214,530.296025
120,89.056272,-9.567980,584.069759
130,93.686212,-21.877048,636.928584
140,99.523466,-34.520578,686.287131
150,104.838688,-46.740555,731.188209
160,109.774791,-57.202033,769.744293
170,116.438645,-63.385959,798.154154
180,119.191300,-67.695190,817.468066
190,120.642580,-69.385292,827.991696
200,124.135745,-70.680551,837.858422
