frame,assim_h_abs,assim_h_sinal,magnitude
10,0.000604,-0.000089,15984.041624
20,0.000810,-0.000154,15982.228227
30,0.000853,0.000079,16128.342845
40,0.000994,0.000101,16773.118621
50,0.001182,-0.000373,18104.583995
60,0.001385,-0.000563,20141.740103
70,0.001456,-0.000375,22159.422990
80,0.001596,-0.000145,23465.244740
90,0.001674,-0.000132,24731.948928
100,0.001745,-0.000065,26132.830637
110,0.001693,0.000014,27543.019307
120,0.001501,0.000174,27519.553113
130,0.001392,0.000210,26332.046360
140,0.001232,0.000175,24702.153991
150,0.001179,0.000113,23154.402470
160,0.001161,0.000154,21852.427035
170,0.001079,0.000175,20875.134079
180,0.001032,0.000184,20098.339125
190,0.000964,0.000106,19445.195700
200,0.000942,0.000085,18936.825449
