frame,Frame time,GameController::Update,GameModel::UpdateUpTo,GameModel::BeforeSim,Air::update_air,Simulation::DispatchNewtonianGravity,Simulation::RecalcFreeParticles,Simulation::UpdateParticles,GameModel::AfterSim
121,16574.30,7087.16,7084.51,1299.24,498.90,0.07,745.51,5783.01,1.23
122,16685.65,7122.62,7119.41,1324.59,496.48,0.07,772.94,5792.53,1.24
123,16745.43,7179.06,7175.92,1320.23,498.46,0.07,766.55,5853.41,1.22
124,16665.17,7190.51,7187.41,1329.61,502.35,0.07,772.34,5855.55,1.20
125,16634.94,7206.10,7202.99,1336.79,500.17,0.07,776.42,6.12,5863.98,1.19
126,16632.68,7202.47,7199.35,1335.70,503.65,0.08,772.80,5861.43,1.18
127,16580.90,7211.82,7208.74,1328.03,503.61,0.07,766.12,5878.49,1.17
128,16589.15,7205.48,7202.42,1320.57,505.63,0.07,757.60,5879.63,1.17
129,16585.55,7203.89,7200.84,1309.82,502.39,0.07,749.93,5888.80,1.17
130,16536.90,7157.23,7154.24,1290.05,499.07,0.07,734.54,5861.99,1.17
131,16571.52,7200.44,7197.48,1283.27,496.98,0.07,730.81,5911.99,1.17
132,16688.60,7211.13,7208.20,1277.86,499.04,0.06,723.65,5928.12,1.17
133,16595.26,7212.54,7209.65,1274.06,497.00,0.06,722.67,5933.38,1.17
134,16647.03,7246.59,7243.75,1290.12,499.71,0.06,730.86,5.87,5951.40,1.16
135,16663.48,7252.14,7249.29,1291.16,503.51,0.06,729.02,5955.91,1.17
136,16647.63,7275.26,7272.43,1295.11,501.23,0.06,736.17,5975.09,1.18
137,16673.15,7280.97,7278.11,1295.59,500.21,0.05,738.65,5980.28,1.19
138,16668.01,7316.84,7314.00,1303.18,498.24,0.06,749.13,6008.61,1.18
139,16637.12,7329.09,7326.26,1300.51,497.02,0.06,748.57,6023.56,1.18
140,16680.61,7341.25,7338.42,1302.95,495.71,0.07,753.12,6033.29,1.18
141,16648.93,7357.34,7354.55,1308.43,495.96,0.06,759.17,6043.92,1.18
142,16616.22,7371.84,7369.10,1312.66,497.97,0.06,762.14,6054.18,1.21
143,16680.41,7380.89,7378.12,1310.72,497.10,0.07,761.76,6065.12,1.21
144,16697.00,7416.06,7413.27,1314.06,496.00,0.07,761.25,5.48,6096.90,1.23
145,16668.56,7455.99,7453.21,1319.33,494.43,0.07,769.00,6131.56,1.23
146,16707.87,7518.63,7515.84,1340.85,493.57,0.08,784.53,7.64,6172.63,1.25
147,16667.30,7496.88,7494.06,1324.50,493.23,0.08,769.67,6167.18,1.25
148,16637.32,7555.05,7552.21,1326.91,495.85,0.08,770.60,6222.89,1.25
149,16742.71,7622.66,7619.77,1319.87,495.40,0.08,762.36,6297.46,1.26
150,16760.87,7618.76,7615.90,1307.51,495.71,0.08,750.80,6305.93,1.27
151,16609.93,7609.18,7606.34,1290.09,495.09,0.08,735.01,6313.82,1.27
152,16666.55,7637.43,7634.54,1307.32,509.58,0.08,738.63,6324.77,1.29
153,16655.44,7639.08,7636.12,1302.19,508.14,0.08,734.84,6331.48,1.28
154,16684.86,7728.09,7725.15,1309.06,507.16,0.08,743.53,6413.63,1.29
155,16703.77,7692.02,7689.11,1295.98,511.27,0.08,727.41,6390.71,1.29
156,16629.34,7719.60,7716.71,1299.58,509.91,0.08,733.25,6414.70,1.28
157,16702.12,7775.16,7772.24,1294.46,508.53,0.08,730.27,6475.36,1.27
158,16636.00,7720.42,7717.55,1273.75,508.21,0.07,710.73,6441.40,1.26
159,16558.17,7723.57,7720.72,1276.38,505.77,0.09,716.58,6441.96,1.25
160,17001.85,7729.44,7726.60,1264.33,512.67,0.09,698.33,6459.87,1.27
161,17084.19,7909.02,7906.20,1268.70,522.40,0.09,692.09,6635.13,1.24
162,17802.56,8099.79,8096.98,1258.81,527.11,0.09,676.28,6835.85,1.21
163,18330.50,8151.84,8149.06,1259.14,529.25,0.09,669.08,5.71,6887.59,1.22
164,18183.68,8189.58,8186.82,1253.03,532.94,0.09,660.27,6931.47,1.21
165,18061.84,8240.98,8238.26,1256.78,534.30,0.09,663.82,6979.18,1.20
166,17935.60,8293.23,8290.55,1248.14,534.17,0.08,656.26,7040.06,1.25
167,17897.50,8427.40,8424.72,1253.78,540.38,0.08,656.64,7168.60,1.25
168,18416.62,8420.69,8418.04,1303.61,542.21,0.08,692.37,11.92,7112.09,1.24
169,18263.68,8406.38,8403.76,1297.89,551.71,0.08,678.78,7103.53,1.24
170,18147.69,8408.03,8405.38,1282.33,552.05,0.08,664.26,7120.70,1.25
