frame,live,checksum
1,36452,aa6f98326af2dba3
2,36452,2019dda9bd71d5f1
3,36452,4a9236ff2e2a3429
4,36452,4ae71c2c8bf38dca
5,36452,c56ddffed44a629e
6,36452,022096734dc1a22a
7,36452,c0f4673d0e948faa
8,36452,334eeee284b57397
9,36452,6ab1c5b528c1a55a
10,36452,1eede3a455f3754e
11,36452,5510bb5be04e76a0
12,36452,57348609b1ba17a2
13,36452,af2c3a434c75f64c
14,36452,51d41c6ea5dedffb
15,36452,2f54d5ab02898dc2
16,36452,8b6edddf8ae86fc6
17,36452,f3f15e8c31930512
18,36452,3da3e3c9ebf8715d
19,36452,cde67d2712ccc3ae
20,36452,7c18eb9a3016f509
21,36452,f608aa8347e8e4b5
22,36452,f54ad98c9dae0cc1
23,36452,3c4cec5e1c2293bf
24,36452,9264862a2d4de868
25,36452,502418ec5f190e0e
26,36452,6bc8833e46c438b0
27,36452,c2cd6ace7e9820ae
28,36452,15e4abed667d72aa
29,36452,822ee688e32ab920
30,36452,913d744b34ce68ed
31,36452,9e8cb22c0be97d4c
32,36452,c7bc2a704ed0fd4c
33,36452,9375ee37c27f6591
34,36452,e545f020832ea1e5
35,36452,c0194f48b13c80cd
36,36452,a6727b2ce47f5cca
37,36452,df26a2af8a59c37a
38,36452,d8f43d41088ee198
39,36452,ba6f9a384f4abee4
40,36452,68cee1539afc2246
41,36452,8ae9105735ea2aea
42,36452,ea88e1407e6f5b48
43,36452,26582272fe39c07e
44,36452,498d8dfd3f28b24f
45,36452,1c4fa889a868d379
46,36452,e0c452a862496c96
47,36452,ea506a09ff2d10d6
48,36452,a6ddb715e6ca1b5a
49,36452,b9f561dae870e57c
50,36452,e6d35f7ca018d57c
51,36452,76eca68c929b1000
52,36452,616436f39e586423
53,36452,4689b160729318a9
54,36452,288ac086039e5f5d
55,36452,8f37e4cfc9ccdf5c
56,36452,a665b0b9415905b2
57,36452,c19406626f6ca817
58,36452,384a3a30c3c1808e
59,36452,f49c21e636f00268
60,36452,da2fa5e05e64e58b
61,36452,96a5918e447c8d69
62,36452,5cbf618fa03fd140
63,36452,f61cb1e01b33a436
64,36452,dcca786db2867a6e
65,36452,ba2658388e450296
66,36452,d1730a9765aa48ad
67,36452,f973221c09613b64
68,36452,bd9371caf1a5e99d
69,36452,5645410ca71727d7
70,36452,8bbf4e122c3d48bb
71,36452,550477fdf5820e60
72,36452,3479c42a5434798c
73,36452,e85e5b6591642e34
74,36452,7e5a937247a11adb
75,36452,712ee7516c6e0a2f
76,36452,72dc4580f6ac1227
77,36452,6a4aa456dd0e3f7f
78,36452,8ea5d9651da1cd28
79,36452,116a8ec1104c9d73
80,36452,4bacd28e1022e80b
81,36452,c74efaea73e9624a
82,36452,626232d0e9b0d035
83,36452,c878bc16391bd8fd
84,36452,d54726f6eedbaa9e
85,36452,04328f0a58a422f9
86,36452,e71220933efe977b
87,36452,66df52d09748fc41
88,36452,9c5d90fdf48b2c05
89,36452,3f618504103a1de6
90,36452,069dd336041684bb
91,36452,a8e966f7b1cf431f
92,36452,d89515ef3e01fcde
93,36452,4c2e64b108eb77ad
94,36452,0306ef8474474cd0
95,36452,56b8cce6e86075cc
96,36452,0e2c1e9111a1468c
97,36452,861c589485e14246
98,36452,08a944ff29731db7
99,36452,25bee3b150676d17
100,36452,f98694b311188fbf
101,36452,4f2a9e828c77c91a
102,36452,eba2cd743c8d2761
103,36452,d01633b8ff9bb201
104,36452,f89b0240cfd4b949
105,36452,3caac238277ff2e6
106,36452,43bb74442ed1257b
107,36452,bde9fe3c863176b8
108,36452,bcbdf566d2b18ac2
109,36452,8776d3a166224da3
110,36452,c18dc39f1bf0fcb7
111,36452,4af0ae2b5c9f6b37
112,36452,6878113dd8caa384
113,36452,04dc79c96300ccc4
114,36452,a9c7d536cd3f963a
115,36452,a03a73c59b851202
116,36452,1cf64d899f2fbc89
117,36452,e6b5fec6fd75a0bb
118,36452,5fb9d0f964d09fbe
119,36452,189d5f9c08f978ba
120,36450,3af88ce87d82e3c3
121,36448,aa885073afa7a32c
122,36447,31d63bb1ba9a38c5
123,36445,6331c2ac9b7e8b33
124,36445,a372972532a232a5
125,36441,861ef3c1fb405596
126,36441,d1f72708204a28dd
127,36438,035167afc019b264
128,36435,3068b84ace3d1de1
129,36431,eee4f4908cf3cf50
130,36428,598dd26cd055c1c2
131,36425,779a45b486b4c5a1
132,36424,833c36edde6afa3e
133,36424,72f716c018480cb8
134,36421,e90bb3423bf12f98
135,36420,c2c7097478f64b4d
136,36418,d250b3c7e252c56f
137,36416,0e68af329ff45420
138,36415,b59aa3cadcaaae63
139,36414,5c629575d66c32fb
140,36411,585a0e0b98883193
141,36410,0d59fc06a50399a6
142,36409,628a12d9e7c91e12
143,36409,fccef646d50ad997
144,36408,ac87a5cb882c22bf
145,36405,d7570971e3716f56
146,36405,9ee7645479405177
147,36404,c016921a59f9ac54
148,36402,40e3a87b77e140ff
149,36400,a7efd4a07eeaabb7
150,36395,2a5d4cc266f4d6d5
151,36392,253afef51e46173d
152,36390,12ba70b32753a8a1
153,36389,3aa98ee786e4781f
154,36386,35f9154aa523243d
155,36383,507376b4f2db687e
156,36382,264a7f74ed00e244
157,36379,5164c9dc00094010
158,36376,e083281613b11f88
159,36375,e67d5a81f60aa328
160,36374,953c407aaedf70d6
161,36371,b1a77d88e0f858f6
162,36368,c232a4bd0f55c699
163,36365,bf7c7a6fac8ac07f
164,36363,08df0f9673de07e7
165,36362,8bc4b5e28892a1f3
166,36362,1f3fb77cc06bd57a
167,36360,e2c8c7bca2cef74f
168,36360,bf69a9d294fa3867
169,36356,3cd7ba242ec2e5a4
170,36356,69d4a99be93ee16c
171,36356,89b584dd251f0d18
172,36356,cdf79a9f69fbd8eb
173,36356,488de9a3f4db97e1
174,36356,a0f39fd6d67ad163
175,36356,ebb9fa0c10cd4d5e
176,36356,78822dc81fbb6608
177,36356,cde6d77cd412925f
178,36356,25437e79bc760778
179,36356,b2b5de0c670c85b6
180,36356,7939f215b65c1f31
181,36356,5fd172ce359559a4
182,36356,202f2a7eca8299e8
183,36356,30eb08363d31f663
184,36356,b1cafdbb4c14ec66
185,36356,1437bd8ea456bbbd
186,36356,295d30b3c2949b7b
187,36356,abfcaf56a3f20ee3
188,36356,44f631087a7f06ef
189,36356,3ca21c826fdeefbf
