frame,live,checksum
1,36452,b19783a9db223942
2,36452,08c541fa5c5abe64
3,36452,0ffbec1e3d00ccda
4,36452,667d3f982598d7d9
5,36452,c33395c1debfcd14
6,36452,3a33cd7bedb7a089
7,36452,bc339e8e472fadea
8,36452,24665d6fb81443e8
9,36452,60e61ca5da96349b
10,36452,bfd33d142f26df8b
11,36452,773ea56bb7b4296a
12,36452,5476f8bfd927f1e6
13,36452,3283648520869d79
14,36452,1950432cc84c0307
15,36452,c0fcecbfbe03798d
16,36452,be94bda008c60f9e
17,36452,486b152c99f6e7a3
18,36452,8113c226bd0953f5
19,36452,504256a7f8231984
20,36452,0ef0fce7887d1ee3
21,36452,a7fbf3cd108b8ba1
22,36452,5542aa18fc07fe15
23,36452,356929fe1e1e804c
24,36452,b8ae8aeeef578e36
25,36452,3fe2f91cd81f7e23
26,36452,5613112dca7a2fb9
27,36452,bd1de0c3afc49b59
28,36452,49f8e54651ca4938
29,36452,efdfd4cd1ac25047
30,36452,40ae149ad254da4c
31,36452,3f161a66baffc73d
32,36452,13f89cc11c961ebe
33,36452,4c1fea140e269ff1
34,36452,24785d647b6b346e
35,36452,e99759d931240393
36,36452,0092e76afcea9b9a
37,36452,55c88de88d430e26
38,36452,b442637168eb0918
39,36452,615ce7edc80e0087
40,36452,7617caac92a7c2bd
41,36452,915311a823bb717d
42,36452,d46d9ce29c3663bc
43,36452,cfe2088e415f4427
44,36452,bef6db3a148ea72a
45,36452,22f17ea1b5845fed
46,36452,8596483ed3832e33
47,36452,e9f99bde0e272dd9
48,36452,151e3598280b29a1
49,36452,6c4c75ef7247e3f7
50,36452,0a3a05f1d4b90763
51,36452,d1e2ac636fc68749
52,36452,dde527246f9094bf
53,36452,93de23af75ad149a
54,36452,d055017e2c22efc4
55,36452,35ac3c60d156f192
56,36452,0f39fb50014fc896
57,36452,dd62d3e0bfe7f3c9
58,36452,f741928a1d91e3fe
59,36452,e3d427de3c8c898c
60,36452,9722a5f7f10f706e
61,36452,77d154c6c5e93e06
62,36452,82b6b3c0fe8ff8b4
63,36452,3d81e2b6d400af26
64,36452,49c8f7371e639a45
65,36452,1ae957e19b978b01
66,36452,a50fe76dc82a13b1
67,36452,b011850874e30d9a
68,36452,070f65693e9416a7
69,36452,4ef88822f63a298e
70,36452,4c7ce7bf252c2757
71,36452,4f61a278a897f5fc
72,36452,b99b8265d7423ee8
73,36452,45b718c421fa3e76
74,36452,b5a1d41f989b655c
75,36452,97fb5df7838efaeb
76,36452,5c7729cd77cda4c3
77,36452,a52498edcf348d2e
78,36452,0a57909874617fe5
79,36452,e8e289bd77f3ae16
80,36452,d97500ff991fa33f
81,36452,5e4859ea5114cba5
82,36452,5c1d2e53274fa9f8
83,36452,78ef13200fc0f829
84,36452,54c514d9ce63fff6
85,36452,7096cc44e772b574
86,36452,5818377fc56fe200
87,36452,2347c3cb32aaf088
88,36452,ac2ef8dcf6197fd4
89,36452,eea7a68329c8214c
90,36452,ef08e717875a12d9
91,36452,a2cd839310cbf299
92,36452,d7e722a938c964f4
93,36452,14b571c22dc8e5ed
94,36452,52cfa09993ca3278
95,36452,840321f0ccf6ac16
96,36452,831d824dd6a5d7c2
97,36452,8426dc8f52298315
98,36452,55dc4d82ad9c7ac6
99,36452,6dbdda8488bf9c7a
100,36452,16e166f5d33150f8
101,36452,f921068316ef96b5
102,36452,05b69b8992c033b2
103,36452,6744a5e37a587262
104,36452,e42aad5aea4e431e
105,36452,87be3927ff5e729c
106,36452,87eb0e1b423c43a5
107,36452,53edb9cdc3cc8b0e
108,36452,24532d8fcb37e2c6
109,36452,2ee379998ac0f912
110,36452,c305e4d605c15a7f
111,36452,94df2aa6c7af8bb5
112,36452,775ae907a4c1d87d
113,36452,90787cbe5804883f
114,36452,83112203c41330ae
115,36452,819e5b79ccbd4887
116,36452,856f0fd39dcf3bb0
117,36452,c6ca5e5267429ea1
118,36452,cc1f2c4899dc7ac8
119,36452,3575b0b55d6ab57a
120,36450,0a7161d08bb48894
121,36448,88d642e89382fb7c
122,36447,cc76ca59d77b43aa
123,36445,308715fb6c74e92c
124,36445,1a783fca99c00125
125,36441,f36b829d5755c3e6
126,36441,d8dd55fd914a5a38
127,36438,d2feb2115c1c917a
128,36435,c24fa168feaaeb6d
129,36431,206696f44103244e
130,36428,dbc8238e72628b1f
131,36425,a8532c5118e36212
132,36424,cd3009a9f85ef1c9
133,36424,bb1f94f614a70c45
134,36421,aeaca1b456ff6365
135,36420,cbebde2be884f2a6
136,36418,f0f5fcbfbf2ced55
137,36416,ad6520bcf159627f
138,36415,c0151998b2648862
139,36414,1cbb9a6828427b49
140,36411,1d9bb4e06c4809fe
141,36410,2796cba888b5f68e
142,36409,1c4ae4759222ea8e
143,36409,763afa285bb41c1d
144,36408,74f045840e324ec3
145,36405,59d92b855cb7de92
146,36405,fe5d3954c1552206
147,36404,7b0bdb47e7153cd1
148,36402,e483b7f10b42a4a1
149,36400,3c6175cc59bbc158
150,36395,f43e70ab756a7f6b
151,36392,2400982c224ad504
152,36390,3ea7929b38ef1a78
153,36389,a99ce6aafe419352
154,36386,23e766de1f238afe
155,36383,e5eecc226e9cde7e
156,36382,6c5cfe186c1f6281
157,36379,e843b4cf154583ed
158,36376,fef056917f99c165
159,36375,93778bd1b3a0dac1
160,36374,08f9bc0621c6597d
161,36371,469e964b24f77406
162,36368,2d2d2b768bd8c58c
163,36365,c7c417fb99b82ac8
164,36363,4f3be91d3bf440c5
165,36362,00f071ff333c7592
166,36362,9f58e135e5524356
167,36360,6fccfa4d59db7a7c
168,36360,5293987387dd2ee2
169,36356,756b8684d1550aff
170,36356,62fca5352f655910
171,36356,ec0ec4645dff892e
172,36356,04b22acdcb0f8293
173,36356,f86890c1be11e06f
174,36356,43ab7ff58972a3f6
175,36356,8903c74b510245ac
176,36356,8691fdf61f628b1f
177,36356,6f39562c85145329
178,36356,01b646531e2f34b2
179,36356,c5caf3efe51d433e
180,36356,e00331c42cc3388e
181,36356,0b20ca7bf8a13407
182,36356,e562c041527e60f7
183,36356,a79adddcae228868
184,36356,b1ae3ac55197bbd7
185,36356,1bce7e206d02fe0f
186,36356,e0f12a0d4269d353
187,36356,e5810aa759ea553c
188,36356,0d7aa0c5a304d262
189,36356,be4f929525273069
190,36356,fd9b2d5ea272f1aa
191,36356,74a3632596fb5511
192,36356,c3e0a412dad78f83
193,36356,c56d3ef9a1838dac
194,36356,c9eb3a301cf2e31e
195,36356,1fe8edea12850fd8
196,36356,6c8c7656c288ae2a
197,36356,bd7d8a555c01591f
198,36356,9da363b7e46653b6
199,36356,6bb171fca678bdcd
200,36356,dbbfc4f5b11e13ff
201,36356,413b585a1dbbb76b
202,36356,1f0c8bf605cf2c2a
203,36356,ab8a9b3e0fa497b8
204,36356,275eb60bd3d20f8b
205,36356,adf2ebcca3d2240b
206,36356,eefab821afdeff25
207,36356,5130b1b27a9ca33c
208,36356,f54702d7dc6d125c
209,36356,2e650fb7dbbbdfed
210,36356,b3930586450a4ae8
211,36356,0bf382306bcfa717
212,36356,832cfed1bc964648
213,36356,d441f50b6997bca6
214,36356,b787fd3ef8220b58
215,36356,51b551c801cb3bef
216,36356,20076001d2c6cf25
217,36356,7961f48da0bd3a1e
218,36356,4f56497f7439535e
219,36356,684c665c4fe45731
220,36356,c2b529f74d326235
221,36356,037d4e8e7ab0bc8e
222,36356,17a8d075c9003251
223,36356,5de977edd3da336b
224,36356,862fd488e01cc341
225,36356,d99a2cc37f76949e
226,36356,955452d6c9e8ad91
227,36356,6e03fe03a2d18e03
228,36356,88a771cb28934265
229,36356,7d9823f5c68bedfe
230,36356,5a58439351188a79
231,36356,0f361ee5acd6e97d
232,36356,066d59f5e2fb4bd6
233,36356,3e88a00f7e20f332
234,36356,5ec47565804505af
235,36356,8879a7fd40fc5529
236,36356,5d42d16bb375b397
237,36356,429af1d4d235b38f
238,36356,0a7c35d446a53f21
239,36356,3f89ca1e5ca375d3
240,36356,aa5ea966b11dea2a
241,36356,0c2d837cb189ff53
242,36356,29df0e57d149030a
243,36356,7345a5aa2966dddd
244,36356,fe8bfa89b8b394e2
245,36356,878db755f5047dde
246,36356,e411abd81277ba76
247,36356,4f34fc32f6bdd792
248,36356,a36c2c0278788004
249,36356,299f5b53aa6b9355
250,36356,ded450e9b517d7c4
251,36356,68932debe9bf386a
252,36356,e24172fb9c105a90
253,36356,0695fdf87f7c8ef3
254,36356,f08bc0ea53c02045
255,36356,240dd097ac2af06d
256,36356,dcfea811cbe8f350
257,36356,3c16a9735b4cc82f
258,36356,e33efdadaa41a3b1
259,36356,0d4b930a4b6dc5fd
260,36356,0f9732bf7a4094e1
261,36356,8fc16d9411824714
262,36356,0fd2fb00711600f5
263,36356,8d081662dfb9202d
264,36356,c4bc91e1a777138a
265,36356,f4c8d3ca9ab0d3a6
266,36356,2cd880c90cc6650a
267,36356,e6eebe9e492aa3d9
268,36356,97d854fe4270b172
269,36356,6e7e6affbc121842
270,36356,a28bf5ea16586fd3
271,36356,305d5603b1cb55e1
272,36356,ae1af0b347a698fd
273,36356,261e28773c698a06
274,36356,76dcebe64b6fb658
275,36356,d927d123430dfd87
276,36356,aa7e01d6807bea8f
277,36356,46f6d9a86445fd1e
278,36356,591677c0ed7ae84a
279,36356,07815ff137e452a8
280,36356,14b19643a557fe90
281,36356,4da6d42df642dd38
282,36356,c7f3953e0f2ea4ae
283,36356,1873f3716025b502
284,36356,a60084edd966b06d
285,36356,b1c62557238163f0
286,36355,e91d600bd123f2f1
287,36352,f550ab63f1020cf5
288,36352,949e9b93cd5a623e
289,36351,717a53f68dfe081b
290,36349,41059284cbf72f4c
291,36344,ddd892fef67655af
292,36340,f579e9e810546e62
293,36338,bbac65bf457c3c1a
294,36333,486c0d241b1f597a
295,36330,d5f15f0d9abc7ac9
296,36328,97d55a50d78c51a9
297,36328,3bd53cad896b36a9
