frame,live,checksum,freelist_ok,freelist_count,segments,local_alloc,rescue,cls_parallel,cls_serial_type,cls_serial_move,cls_mispredict
1,143732,2316f342996c3aae,1,0,1,0,0,143732,0,0,0
2,143732,1dfbf37efbdfaf10,1,0,1,0,0,143732,0,0,0
3,143732,f9dc65b52f3e022c,1,0,1,0,0,143732,0,0,0
4,143732,9df39287504100f4,1,0,1,0,0,143732,0,0,0
5,143732,c5d62cdaa81578a0,1,0,1,0,0,143732,0,0,0
6,143732,1dfa9085b1c7469a,1,0,1,0,0,143732,0,0,0
7,143732,6c78c709e14cd7d4,1,0,1,0,0,143732,0,0,0
8,143732,e777ff74eaad16f5,1,0,1,0,0,143732,0,0,0
9,143732,278adb03c3c57ce6,1,0,1,0,0,143732,0,0,0
10,143732,210e8c0b09e824b9,1,0,1,0,0,143732,0,0,0
11,143732,0ebc914b7baac72f,1,0,1,0,0,143732,0,0,0
12,143732,cd81b350a4c68906,1,0,1,0,0,143732,0,0,0
13,143732,c5bdc3e25c77c6d8,1,0,1,0,0,143732,0,0,0
14,143732,b2c37c40049a00b8,1,0,1,0,0,143732,0,0,0
15,143732,33cbad6168b37e95,1,0,1,0,0,143732,0,0,0
16,143732,5dbee1b5cbe6de7b,1,0,1,0,0,143732,0,0,0
17,143732,b5c14fcbdae26bd6,1,0,1,0,0,143732,0,0,0
18,143732,1bb3f1bd7bb7cfed,1,0,1,0,0,143732,0,0,0
19,143732,f901e402d5916734,1,0,1,0,0,143732,0,0,0
20,143732,0bcdae2facca69bb,1,0,1,0,0,143732,0,0,0
21,143732,785f1ce10f498798,1,0,1,0,0,143732,0,0,0
22,143732,dacb276566880afa,1,0,1,0,0,143732,0,0,0
23,143732,6d8682dcca1753c2,1,0,1,0,0,143732,0,0,0
24,143732,8ae91e15c086ce53,1,0,1,0,0,143732,0,0,0
25,143732,5599921964584f56,1,0,1,0,0,143732,0,0,0
26,143732,5f4becede7937d51,1,0,1,0,0,143732,0,0,0
27,143732,43d8a912e258906b,1,0,1,0,0,143732,0,0,0
28,143732,0eb55953a581af53,1,0,1,0,0,143732,0,0,0
29,143732,7a2173a33c4da241,1,0,1,0,0,143732,0,0,0
30,143732,562dbeec962a09ac,1,0,1,0,0,143732,0,0,0
31,143732,1a31b909da8a3364,1,0,1,0,0,143732,0,0,0
32,143732,20273c890933b1ec,1,0,1,0,0,143732,0,0,0
33,143732,6aacef3437b04e62,1,0,1,0,0,143732,0,0,0
34,143732,7117b35ceb95a5a5,1,0,1,0,0,143732,0,0,0
35,143732,82489594f1279aea,1,0,1,0,0,143732,0,0,0
36,143732,81131b399efc6042,1,0,1,0,0,143732,0,0,0
37,143732,2c9017049ff89317,1,0,1,0,0,143732,0,0,0
38,143732,a15fef0f6f6c16b3,1,0,1,0,0,143732,0,0,0
39,143732,de75f494d26e1886,1,0,1,0,0,143732,0,0,0
40,143732,06d9b1fd76b4a465,1,0,1,0,0,143732,0,0,0
41,143732,8d89b357a509bb83,1,0,1,0,0,143732,0,0,0
42,143732,14a612777443e5aa,1,0,1,0,0,143732,0,0,0
43,143732,298f58e5d33dfb77,1,0,1,0,0,143732,0,0,0
44,143732,1feb413a73bddf9e,1,0,1,0,0,143732,0,0,0
45,143732,ec8427549199cd59,1,0,1,0,0,143732,0,0,0
46,143732,208176fcf3a48c15,1,0,1,0,0,143732,0,0,0
47,143732,765f05f7c55c89d9,1,0,1,0,0,143732,0,0,0
48,143732,c3799f5eeb6b0f40,1,0,1,0,0,143732,0,0,0
49,143732,5a3b12e2b4c2f0f5,1,0,1,0,0,143732,0,0,0
50,143732,fd41176532e4c0c8,1,0,1,0,0,143732,0,0,0
51,143732,c30caed71e31da28,1,0,1,0,0,143732,0,0,0
52,143732,88f5a24e5c6686fb,1,0,1,0,0,143732,0,0,0
53,143732,ef0f8db242f8ee8e,1,0,1,0,0,143732,0,0,0
54,143732,8a35450bdab90735,1,0,1,0,0,143732,0,0,0
55,143732,b5ca8db25144dc25,1,0,1,0,0,143732,0,0,0
56,143732,123aac0e20266219,1,0,1,0,0,143732,0,0,0
57,143732,d31f030651990451,1,0,1,0,0,143732,0,0,0
58,143732,a30553585447c160,1,0,1,0,0,143732,0,0,0
59,143732,45964b1d2e5dbc71,1,0,1,0,0,143732,0,0,0
60,143732,6c397fe3d39cba9d,1,0,1,0,0,143732,0,0,0
61,143732,ce1f60ee6f7b4efb,1,0,1,0,0,143732,0,0,0
62,143732,7f738f7ceaa23f1c,1,0,1,0,0,143732,0,0,0
63,143732,3a325a4ec925ebfe,1,0,1,0,0,143732,0,0,0
64,143732,9ab08a7123ab0aa9,1,0,1,0,0,143732,0,0,0
65,143732,b6fca66bf892b139,1,0,1,0,0,143732,0,0,0
66,143732,553cc493d58ab482,1,0,1,0,0,143732,0,0,0
67,143732,0ffb872d0db98719,1,0,1,0,0,143732,0,0,0
68,143732,147597bf7542b519,1,0,1,0,0,143732,0,0,0
69,143732,397558aced02dcb7,1,0,1,0,0,143732,0,0,0
70,143732,e8f31dc2f16909a3,1,0,1,0,0,143732,0,0,0
71,143732,1987bdb3b983aba0,1,0,1,0,0,143732,0,0,0
72,143732,2208b895b8e6dd1c,1,0,1,0,0,143732,0,0,0
73,143732,bb159179ffd33902,1,0,1,0,0,143732,0,0,0
74,143732,46ff7f16590f02d7,1,0,1,0,0,143732,0,0,0
75,143732,f3bc3c3fde15b6a0,1,0,1,0,0,143732,0,0,0
76,143732,0a21b241a04e316d,1,0,1,0,0,143732,0,0,0
77,143732,69c803514cec15c0,1,0,1,0,0,143732,0,0,0
78,143732,79a20ffffe433e67,1,0,1,0,0,143732,0,0,0
79,143732,545a707314343576,1,0,1,0,0,143732,0,0,0
80,143732,b34a3b8832bb1300,1,0,1,0,0,143732,0,0,0
81,143732,b79bcb68fea763f1,1,0,1,0,0,143732,0,0,0
82,143732,3d21ca840753e16d,1,0,1,0,0,143732,0,0,0
83,143732,14df1cbc56f089f6,1,0,1,0,0,143732,0,0,0
