frame,moved,max_cheb,max_elem,gt1,gt2,gt4,gt8,gt16,gt32,gt64
1,143732,0.30,SAND,0,0,0,0,0,0,0
2,69232,0.60,STNE,0,0,0,0,0,0,0
3,1288,0.92,STNE,0,0,0,0,0,0,0
4,70424,1.27,STNE,596,0,0,0,0,0,0
5,2384,1.64,STNE,596,0,0,0,0,0,0
6,2980,1.97,STNE,1192,0,0,0,0,0,0
7,3576,2.36,STNE,1788,596,0,0,0,0,0
8,4172,2.72,STNE,2384,1192,0,0,0,0,0
9,4767,3.05,STNE,2980,1788,0,0,0,0,0
10,5362,3.42,STNE,2385,2384,0,0,0,0,0
11,5958,3.77,STNE,2898,2303,0,0,0,0,0
12,6552,4.14,STNE,3174,1978,743,0,0,0,0
13,6553,4.55,STNE,3495,1680,1191,0,0,0,0
14,7149,5.06,STNE,2977,2068,965,0,0,0,0
15,7450,4.84,STNE,3615,955,192,0,0,0,0
16,8326,5.35,STNE,3652,1339,23,0,0,0,0
17,9504,5.67,STNE,4287,1602,24,0,0,0,0
18,8985,4.82,STNE,2796,1907,89,0,0,0,0
19,9478,5.24,STNE,3505,1929,226,0,0,0,0
20,9814,5.29,STNE,3402,1406,410,0,0,0,0
21,10700,5.57,STNE,4006,1735,276,0,0,0,0
22,10621,5.90,STNE,2901,1238,125,0,0,0,0
23,11284,4.85,STNE,3880,1558,125,0,0,0,0
24,11877,5.40,STNE,3494,1619,103,0,0,0,0
25,12538,5.29,STNE,3319,1533,138,0,0,0,0
26,10918,5.32,STNE,2780,1345,118,0,0,0,0
27,11799,5.10,STNE,3090,1218,116,0,0,0,0
28,12638,4.82,STNE,3415,1103,138,0,0,0,0
29,13260,5.05,STNE,4060,1215,83,0,0,0,0
30,12506,5.11,STNE,4469,1048,47,0,0,0,0
31,13226,4.74,STNE,3604,933,22,0,0,0,0
32,14946,4.63,STNE,3633,1188,19,0,0,0,0
33,14189,4.63,STNE,4912,1074,17,0,0,0,0
34,14470,4.51,STNE,4302,917,21,0,0,0,0
35,15000,4.29,STNE,3189,890,9,0,0,0,0
36,15888,4.40,STNE,3843,873,7,0,0,0,0
37,15984,4.59,STNE,5014,826,15,0,0,0,0
38,15793,4.62,STNE,3954,810,18,0,0,0,0
39,16106,4.45,STNE,3549,813,6,0,0,0,0
40,16708,4.27,STNE,3871,764,4,0,0,0,0
41,17220,4.12,STNE,4389,708,1,0,0,0,0
42,16569,4.17,STNE,3259,665,1,0,0,0,0
43,17112,3.97,STNE,4081,618,0,0,0,0,0
44,17938,3.86,STNE,5036,586,0,0,0,0,0
45,16716,3.94,STNE,4350,589,0,0,0,0,0
46,17568,4.06,STNE,3533,558,1,0,0,0,0
47,18450,3.83,STNE,3788,543,0,0,0,0,0
48,18961,3.63,STNE,4682,489,0,0,0,0,0
49,19540,3.82,STNE,4267,478,0,0,0,0,0
50,18926,4.06,STNE,3528,466,1,0,0,0,0
51,18998,3.49,STNE,4208,531,0,0,0,0,0
52,21268,3.50,STNE,4145,458,0,0,0,0,0
53,20338,3.68,STNE,4253,414,0,0,0,0,0
54,18980,3.90,STNE,4221,431,0,0,0,0,0
55,20688,4.09,STNE,4932,453,1,0,0,0,0
56,21108,3.54,STNE,5075,416,0,0,0,0,0
57,19757,3.26,STNE,4252,473,0,0,0,0,0
58,20643,3.39,STNE,3793,418,0,0,0,0,0
59,22372,3.18,STNE,4694,426,0,0,0,0,0
60,22208,3.33,STNE,5167,348,0,0,0,0,0
61,21258,3.47,STNE,4742,379,0,0,0,0,0
62,22790,3.28,STNE,4153,453,0,0,0,0,0
63,23133,3.05,STNE,3990,373,0,0,0,0,0
64,23041,3.22,STNE,4445,337,0,0,0,0,0
65,23679,3.10,STNE,4228,338,0,0,0,0,0
66,22090,3.40,STNE,3719,312,0,0,0,0,0
67,23120,3.39,STNE,4192,349,0,0,0,0,0
68,23737,3.10,STNE,5132,269,0,0,0,0,0
69,23684,3.26,STNE,4463,294,0,0,0,0,0
70,23790,3.49,STNE,4189,259,0,0,0,0,0
71,23587,3.74,STNE,4277,249,0,0,0,0,0
72,23074,3.06,STNE,5143,291,0,0,0,0,0
73,23909,3.24,STNE,4496,281,0,0,0,0,0
74,24737,3.26,STNE,3920,278,0,0,0,0,0
75,24476,3.23,STNE,3948,290,0,0,0,0,0
76,25143,3.47,STNE,4292,284,0,0,0,0,0
77,25113,3.74,STNE,4399,291,0,0,0,0,0
78,25040,3.02,STNE,4009,258,0,0,0,0,0
79,25897,3.13,SAND,4569,250,0,0,0,0,0
80,24349,3.35,STNE,5122,261,0,0,0,0,0
81,24620,3.28,SAND,4647,309,0,0,0,0,0
82,25764,3.44,STNE,4161,274,0,0,0,0,0
83,24392,3.13,STNE,4439,257,0,0,0,0,0
84,25819,3.31,SAND,4483,277,0,0,0,0,0
85,27242,3.65,SAND,4676,268,0,0,0,0,0
86,24561,3.26,STNE,3955,275,0,0,0,0,0
87,26163,3.48,STNE,4911,252,0,0,0,0,0
88,25677,3.35,SAND,5185,296,0,0,0,0,0
89,24734,3.18,SAND,5154,315,0,0,0,0,0
90,25978,3.16,STNE,4015,284,0,0,0,0,0
91,24269,3.34,SAND,4637,268,0,0,0,0,0
92,25025,3.07,SAND,5092,251,0,0,0,0,0
93,25576,3.22,STNE,4516,269,0,0,0,0,0
94,24872,3.50,STNE,3871,280,0,0,0,0,0
95,24576,3.75,SAND,4561,268,0,0,0,0,0
96,24499,3.02,SAND,4825,258,0,0,0,0,0
97,24702,3.13,SAND,4663,370,0,0,0,0,0
98,24359,3.14,SAND,3854,269,0,0,0,0,0
99,25878,3.21,SAND,3843,223,0,0,0,0,0
100,26409,3.03,SAND,4544,264,0,0,0,0,0
101,25670,3.17,SAND,4533,281,0,0,0,0,0
102,25610,2.89,SAND,4343,257,0,0,0,0,0
103,25445,3.16,SAND,4516,269,0,0,0,0,0
104,26488,2.90,SAND,5113,254,0,0,0,0,0
105,25851,3.23,SAND,4975,258,0,0,0,0,0
106,26203,3.55,SAND,3919,259,0,0,0,0,0
107,26604,3.20,SAND,4735,252,0,0,0,0,0
108,27107,3.06,SAND,4685,259,0,0,0,0,0
109,25703,3.11,SAND,4821,263,0,0,0,0,0
110,27254,3.42,SAND,4114,294,0,0,0,0,0
111,27345,3.54,SAND,3995,278,0,0,0,0,0
112,27242,3.44,SAND,4631,262,0,0,0,0,0
113,27855,3.77,SAND,5004,255,0,0,0,0,0
114,26618,4.09,SAND,4360,220,1,0,0,0,0
115,27574,4.36,SAND,4521,243,1,0,0,0,0
116,28036,2.88,SAND,4857,235,0,0,0,0,0
117,27048,3.07,SAND,4667,235,0,0,0,0,0
118,26784,3.31,SAND,4343,248,0,0,0,0,0
119,27345,3.10,SAND,4288,210,0,0,0,0,0
120,27985,3.05,SAND,4894,248,0,0,0,0,0
121,27241,3.26,SAND,4755,268,0,0,0,0,0
122,26926,2.99,SAND,4486,242,0,0,0,0,0
123,26856,3.18,SAND,4181,278,0,0,0,0,0
124,27452,3.50,SAND,4509,218,0,0,0,0,0
125,27348,2.91,SAND,4943,243,0,0,0,0,0
126,26198,3.25,SAND,4220,202,0,0,0,0,0
127,27891,3.57,SAND,4414,176,0,0,0,0,0
128,28433,2.87,SAND,5008,237,0,0,0,0,0
129,28011,2.94,SAND,4185,171,0,0,0,0,0
130,27526,3.04,SAND,4736,253,0,0,0,0,0
131,26867,19.01,WATR,4552,285,1,1,1,0,0
132,28867,18.97,WATR,4200,310,3,2,1,0,0
133,27144,30.00,WATR,4523,426,59,34,22,0,0
134,27938,29.00,WATR,4096,404,76,45,25,0,0
135,28133,29.00,WATR,4345,337,63,28,19,0,0
