frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
1,144480,20386.7,69310921,9271851,21618297,2612156,13561159,144480,53980,3835303,4308327,1470279,8428,75852,2600640,35978,0
2,144480,22697.3,77169494,9472094,22354801,2699650,20018810,144480,53805,3992134,4516639,1515577,8540,76860,2600640,34787,0
3,144480,34023.7,115676293,9655728,22779765,3465158,55220140,144480,54051,4154292,2941805,2041044,10741,103400,2600640,46402,0
4,144480,22877.2,77777621,9781664,22016951,2703370,20026295,144480,53905,4058740,3669824,1613686,10736,107128,2600640,45963,0
5,144480,37651.8,128013230,10496514,24953978,3638528,60695084,144480,53837,4413126,4018825,1768940,15396,166224,2600640,45281,0
6,144480,29854.4,101502577,9669158,23427119,2728367,40626747,144480,53420,4278384,4076541,1615323,18273,204593,2600640,44202,0
7,144480,29665.8,100858960,10007186,24781847,2766120,38125545,144480,54018,4522148,4651882,1730488,17930,206282,2600640,44296,0
8,144480,28351.0,96389286,9366932,22792079,2706710,37680253,144480,53652,4408051,3771683,1654148,20408,239759,2600640,43546,0
9,144480,28361.0,96423320,9509358,22696780,2776738,37311178,144480,53685,4359791,3607262,1612075,21300,258629,2600640,43377,0
10,144480,27799.0,94514492,9253032,22550844,2707635,36201690,144480,53626,4393352,3695541,1620822,21936,268285,2600640,43101,0
11,144480,27800.8,94523060,9126076,22439365,2686943,36691095,144480,53890,4365016,3723914,1578601,23793,297733,2600640,42798,0
12,144480,27332.7,92928460,9010374,22247917,2636376,35786779,144480,53767,4317864,3658564,1540283,24462,308931,2600640,42524,0
13,144480,29410.7,99995768,9275948,25198244,3334016,37029253,144480,53674,4469893,4503640,1638003,25258,322094,2600640,42144,0
14,144480,27973.3,95106194,9119480,23684414,2655526,36109009,144480,54016,4630927,4496406,1669565,26731,343976,2600640,38675,0
15,144480,27726.3,94266669,9211079,23122130,2644565,35886467,144480,53863,4486430,4237500,1608208,27509,357424,2600640,40634,0
16,144480,29928.4,101753024,9642230,24828663,2632149,39424573,144480,53747,4880479,4332585,2232266,28269,370496,2600640,40766,0
17,144480,29742.1,101119533,10047408,24186275,2661512,39293114,144480,53333,4705186,4613034,1633615,29151,385147,2600640,39857,0
18,144480,29357.8,99812777,10490802,24298557,2633949,37684244,144480,53420,4581998,4973008,1596518,30085,401070,2600640,35660,0
19,144480,30294.1,102996027,9945272,26259957,2723341,39112929,144480,54002,5294509,4940438,1710835,30742,411588,2600640,39752,0
20,144480,30406.0,103376422,9498481,25937763,3214666,39566213,144480,53475,5150617,5022005,1672305,31427,422670,2600640,37513,0
21,144480,30259.6,102878353,10619492,25660203,2661992,38784445,144480,53696,5275693,5259748,1646527,32087,433515,2600640,39033,0
22,144480,29834.0,101432265,9836982,24712146,2690049,38124535,144480,53539,4708598,5263239,1595125,32603,441857,2600640,38075,0
23,144480,28512.8,96942840,9170752,24296889,2660385,36701973,144480,54153,4717541,4745633,1617969,33049,448768,2600640,38468,0
24,144480,27938.3,94990016,9075620,23330505,2669625,36018508,144480,53715,4509896,4340100,1552196,33483,456664,2600640,38736,0
25,144480,27872.8,94767112,9068922,23320844,2646355,36045524,144480,53799,4503097,4297779,1529581,33925,463858,2600640,38759,0
26,144480,29772.2,101222627,9935041,25066943,2685403,38553011,144480,53648,4954068,4576781,1709657,34268,469940,2600640,38579,0
