frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas,tp_isotermico,checksum
1,144480,22609.1,76869560,9522074,28764091,2605681,13815913,144480,53980,4383157,8711056,1484769,8428,75852,2600640,0,0
2,144480,23753.4,80759724,9020812,28203411,2649820,19130944,144480,53805,4416224,8679277,1485697,8540,76860,2600640,0,0
3,144480,33075.5,112456258,8835546,28446591,2720019,50326830,144480,54051,4752406,8619590,1490138,10741,103400,2600640,0,0
4,144480,24641.3,83778958,9082012,29481153,2745063,19858499,144480,53905,4750666,8947349,1620242,10736,107128,2600640,0,0
5,144480,34087.4,115895324,9627168,29670213,2628445,50939754,144480,53837,5110136,9192305,1635821,15396,166224,2600640,0,0
6,144480,29122.7,99016806,8946488,28679718,2621160,35817440,144480,53420,5100417,8543727,1483819,18273,204593,2600640,0,0
7,144480,30486.7,103651720,9117134,31178412,2955439,36577854,144480,54018,5553672,9644812,1530023,17930,206282,2600640,0,0
8,144480,30907.2,105079955,9148482,30794771,2650353,38713760,144480,53652,5803812,9530021,1643814,20408,239759,2600640,0,0
9,144480,30107.0,102360298,9111184,30891800,2656849,36189213,144480,53685,5979628,9212956,1656628,21300,258629,2600640,0,0
10,144480,30741.1,104517360,9443772,31144079,2669304,37552901,144480,53626,5687102,9538558,1712252,21936,268285,2600640,0,0
11,144480,29754.1,101162308,9308112,29983349,2637424,36011422,144480,53890,5625705,8910020,1778792,23793,297733,2600640,0,0
12,144480,30434.2,103474444,9199176,30089240,2965866,36750558,144480,53767,5651578,9206586,1533305,24462,308931,2600640,0,0
13,144480,29641.7,100780046,9015202,29917157,2637159,35569255,144480,53674,5752193,8934317,1537280,25258,322094,2600640,0,0
14,144480,30346.5,103177828,9073240,31562002,2661508,36206184,144480,54016,5917551,9536440,1649298,26731,343976,2600640,0,0
15,144480,30380.4,103290943,8939926,30600531,2623705,37079812,144480,53863,6092103,9368561,1551202,27509,357424,2600640,0,0
16,144480,29838.2,101448248,9176804,30217925,2628280,35721207,144480,53747,5878475,8922779,1676076,28269,370496,2600640,0,0
17,144480,30715.6,104431204,9468320,30787783,2636516,36859759,144480,53333,5908264,9324719,1566202,29151,385147,2600640,0,0
18,144480,30056.6,102191284,9057838,30399501,2886958,36199110,144480,53420,6049005,9037619,1561470,30085,401070,2600640,0,0
19,144480,30471.6,103601706,8953458,31298503,2635867,36112807,144480,54002,6205762,9633619,1548571,30742,411588,2600640,0,0
20,144480,30412.5,103400902,9221004,30668249,2662109,36565654,144480,53475,6135970,9150824,1557769,31427,422670,2600640,0,0
21,144480,32153.3,109318565,9965431,32736002,2796327,38516015,144480,53696,6185871,10025914,1630969,32087,433515,2600640,0,0
22,144480,30814.9,104767906,9151372,31838278,2635957,37199050,144480,53539,6362479,9459276,1665732,32603,441857,2600640,0,0
23,144480,30173.7,102588404,9238684,30694847,2652486,35994398,144480,54153,6185386,9167696,1566018,33049,448768,2600640,0,0
24,144480,31677.6,107700984,10048734,32297666,2648461,37944242,144480,53715,6599704,9354653,1612852,33483,456664,2600640,0,0
25,144480,30615.9,104091918,9255616,31280301,2650207,36828329,144480,53799,6166199,9318808,1615058,33925,463858,2600640,0,0
26,144480,31966.4,108682867,9853438,33028020,3264114,38394188,144480,53648,6892332,9935354,1783109,34268,469940,2600640,0,0
27,144480,30823.2,104797452,9036044,30631757,2642532,37872783,144480,53688,6197864,9104449,1534751,34526,475375,2600640,0,0
28,144480,31041.8,105539739,9696698,31783930,2933810,36968142,144480,53995,7105312,9416542,1562247,34814,480000,2600640,0,0
29,144480,31461.4,106967366,9754362,32209437,2781197,37787308,144480,53429,6585316,9533204,1708524,35182,486138,2600640,0,0
30,144480,30266.7,102905692,9290704,30506864,2661433,36002652,144480,53963,6165074,9024908,1554514,35399,490443,2600640,0,0
31,144480,31398.8,106752452,9196218,31605165,2775492,37873427,144480,54002,6677226,9376788,1680035,35609,493401,2600640,0,0
32,144480,31779.5,108047036,9566886,33042706,2708952,37775496,144480,54132,6790167,9707263,1680307,35958,498332,2600640,0,0
33,144480,30471.2,103600346,9137670,31404424,2675523,36381611,144480,54130,6247108,9162108,1582057,36215,502824,2600640,0,0
34,144480,31196.5,106065887,9081944,31958754,2649913,37115586,144480,53822,6634122,9767610,1655828,36408,506223,2600640,0,0
35,144480,30438.4,103489472,9131516,31202541,2675143,36386165,144480,54009,6274898,9468139,1566709,36627,510567,2600640,0,0
36,144480,31918.5,108518273,9425548,32479562,3074798,37765397,144480,53819,6464501,9485756,1610587,36909,514364,2600640,0,0
37,144480,31235.2,106197504,9336805,31449472,2745195,38144552,144480,53816,6385036,9365273,1601989,37170,519088,2600640,0,0
38,144480,30657.3,104233392,9103398,31192043,2798045,36817127,144480,53559,6324948,9152148,1586963,37355,522356,2600640,0,0
39,144480,31303.6,106429452,9271256,32187132,2690988,37176976,144480,53648,6519285,9864220,1670344,37584,525734,2600640,0,0
40,144480,31191.2,106047870,9194994,32126220,2679303,37501121,144480,53610,6534192,9565371,1682740,37769,529254,2600640,0,0
41,144480,31137.6,105866480,9353672,32100240,2789485,37164660,144480,53614,6264783,9494960,1717904,37981,532544,2600640,0,0
42,144480,31190.5,106045898,9549444,31345384,2633007,36797986,144480,53816,6775902,9152572,1568639,38142,534686,2600640,0,0
43,144480,32066.9,109023448,9566410,32970287,2861027,38029779,144480,53622,6958830,9880234,1598441,38355,538583,2600640,0,0
44,144480,31610.2,107470090,9349150,32391934,2692353,38208936,144480,53652,6917811,9670810,1674313,38549,542024,2600640,0,0
45,144480,32260.2,109680192,10048802,32824591,2722733,38510833,144480,53599,6728736,9918318,1730864,38772,546093,2600640,0,0
46,144480,31079.5,105667580,9371454,31496236,2658700,37609539,144480,53690,6410106,9444562,1651644,39025,549017,2600640,0,0
47,144480,31344.4,106568101,9645290,31918879,2676534,37766809,144480,53609,6553130,9314911,1601267,39145,550893,2600640,0,0
48,144480,31664.4,107656614,9207438,32244704,2692798,38286874,144480,53353,6875885,9660854,1638934,39392,555082,2600640,0,0
49,144480,31711.2,107816856,9516532,32242006,2638605,38315694,144480,53623,6556447,9895633,1655009,39581,557650,2600640,0,0
50,144480,30550.8,103870680,9186154,30912668,2850462,36782517,144480,53765,6411588,9010349,1653132,39723,560446,2600640,0,0
51,144480,31571.8,107341060,9435238,32988249,2669716,37469566,144480,53931,7107061,9937833,1730777,39931,563932,2600640,0,0
52,144480,31858.4,108316690,9178980,33189293,2635648,37727275,144480,53693,6933720,10157400,1711103,40102,566722,2600640,0,0
53,144480,30991.8,105369230,9397702,31956133,2663670,36705376,144480,53603,6527353,9602478,1619704,40265,569721,2600640,0,0
54,144480,31912.9,108499984,9312328,33458092,3051421,37211731,144480,53588,7533707,9993528,1630024,40474,572790,2600640,0,0
55,144480,31848.6,108281262,9580724,33021482,2663462,38246300,144480,53840,6885249,10088014,1768775,40651,575652,2600640,0,0
56,144480,31698.5,107770820,9241200,32635823,2662239,38332354,144480,53674,6850753,9878118,1735379,40962,580361,2600640,0,0
57,144480,31843.3,108263517,9449484,32949580,2673152,38327697,144480,53338,6860162,10142131,1743682,41036,581678,2600640,0,0
58,144480,32034.5,108915124,9253202,33374095,2659292,38570035,144480,53961,7170073,10125675,1752740,41100,583493,2600640,0,0
59,144480,32616.6,110892802,9515070,34048596,2710845,38945976,144480,53894,7054325,10540472,1761887,41360,586975,2600640,0,0
60,144480,32800.2,111518062,9714480,34457293,2724016,38926523,144480,53979,7318193,10393039,1731818,41565,590208,2600640,0,0
61,144480,32415.4,110208994,9377438,33748495,2697763,38986956,144480,53679,7100115,10343999,1807140,41704,592714,2600640,0,0
62,144480,33934.5,115372829,9545806,36063276,2737526,41090045,144480,53466,7790329,11284413,1941866,41873,594937,2600640,0,0
63,144480,35158.2,119533865,11375822,35634921,2862256,42343697,144480,53739,7720600,10685486,1790946,41969,596657,2600640,0,0
64,144480,33103.2,112547208,10101434,34626286,2708120,39571172,144480,53656,7356621,10605755,1836942,42137,599272,2600640,0,0
65,144480,32569.2,110731982,9381892,34465575,2685615,39045177,144480,53865,7201961,10713285,1815529,42256,601116,2600640,0,0
66,144480,31988.5,108758075,9935514,32111225,2654301,38888541,144480,53688,6996804,9514583,1597597,42460,603415,2600640,0,0
67,144480,32122.3,109213882,10258208,32148110,2780010,39090167,144480,53563,6686005,9832788,1623082,42574,604877,2600640,0,0
68,144480,31585.3,107388592,9458256,32720638,2647496,37567756,144480,53834,6770793,9956215,1679039,42678,607061,2600640,0,0
69,144480,31114.7,105786478,9408956,31510602,2644056,37601728,144480,53826,6615935,9303538,1582617,42832,610399,2600640,0,0
70,144480,34880.8,118590501,10424502,36447047,2749395,41366296,144480,53565,7961716,11119214,2317930,42930,611683,2600640,0,0
71,144480,32183.4,109420058,9512486,32764610,2959387,38643578,144480,53849,6923223,9774450,1651170,43079,613771,2600640,0,0
72,144480,35246.1,119833003,10164541,36795194,3214256,42377655,144480,53819,7753219,11493808,1885280,43227,616650,2600640,0,0
73,144480,31926.6,108549862,9601328,32208208,2868253,38282732,144480,53353,6750754,9349165,1531696,43394,618585,2600640,0,0
74,144480,31755.0,107966762,9874518,32081513,2795637,38027509,144480,53760,6702689,9457024,1545742,43505,620444,2600640,0,0
75,144480,41304.8,140435266,11905474,42005859,4134965,49299627,144480,53755,8254905,14279975,1906301,43662,622368,2600640,0,0
76,144480,34138.8,116071442,10263306,34707668,3056555,40848378,144480,53981,7234980,10468937,1687845,43753,624483,2600640,0,0
77,144480,32531.4,110606114,9881488,32928336,2878305,38897854,144480,53440,6920108,9847653,1556871,43937,627885,2600640,0,0
78,144480,31818.7,108183444,9613364,32151622,2763463,38322055,144480,53661,6815873,9372251,1570727,44112,630375,2600640,0,0
79,144480,35858.6,121919141,9990594,35425185,4259001,46165470,144480,53552,7099293,9775138,1688888,44275,633371,2600640,0,0
80,144480,31843.6,108267662,9575284,32202240,2858973,38264844,144480,53357,6867576,9325869,1544634,44379,634979,2600640,0,0
81,144480,31877.8,108383598,9613092,32254591,2788795,38208811,144480,53666,6934697,9354437,1570535,44585,638450,2600640,0,0
82,144480,31810.2,108154068,9517790,32222744,2783121,38275087,144480,53841,6868221,9417657,1560568,44704,640121,2600640,0,0
83,144480,32138.4,109269948,9651444,32477482,2834374,38463994,144480,53409,6931494,9506762,1549682,44823,641988,2600640,0,0
84,144480,32231.4,109586216,9656612,32869901,2806224,38527092,144480,53943,6901877,9556221,1568736,45003,644356,2600640,0,0
85,144480,32884.9,111808354,9814780,33313456,2927764,39449412,144480,53840,6999615,9901023,1607320,45116,645972,2600640,0,0
86,144480,32291.3,109790080,9682452,32568247,2835003,38937404,144480,53421,6923771,9549205,1558258,45255,648385,2600640,0,0
87,144480,36774.0,125031402,9966828,36375748,4364512,47610766,144480,53725,7465378,10124734,1754424,45388,650585,2600640,0,0
88,144480,38760.1,131784224,10749681,39325375,4501708,48501895,144480,53971,8449406,11593220,1999363,45499,651958,2600640,0,0
89,144480,31946.3,108616808,9553048,32435287,2768459,38412290,144480,53500,7030499,9438071,1567844,45570,653626,2600640,0,0
90,144480,31916.8,108516780,9620810,32301452,2778325,38356733,144480,53411,6903257,9430904,1550854,45639,655241,2600640,0,0
91,144480,43350.0,147386534,12530090,44406492,4300881,51784069,144480,53820,8785161,15374059,2053645,45750,657716,2600640,0,0
92,144480,52488.1,178456514,14976558,55006312,5264073,62504900,144480,53475,10955232,19791434,1932678,45956,660855,2600640,0,0
93,144480,38585.5,131188156,10971086,40981392,3642256,45460170,144480,53463,8662158,13290994,1920974,46035,661941,2600640,0,0
