frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento
1,144480,21459.8,72958604,9881405,25436133,3390947,16862096
2,144480,20413.8,69402701,8937423,20659068,2804186,20843449
3,144480,35194.6,119657767,10276460,25842810,3521347,62935021
4,144480,21949.9,74625376,9289486,22211024,2958824,22885075
5,144480,38598.2,131230786,10705498,28431037,3969132,70312269
6,144480,33371.5,113457558,11190646,30447076,3907830,50087411
7,144480,26113.4,88778485,9078008,22651978,2842767,37612086
8,144480,26782.0,91054836,9188739,22886205,2833112,39539022
9,144480,26757.1,90969567,9315170,23150830,2857801,39228373
10,144480,26925.0,91540172,9280974,23508059,2922507,38987630
11,144480,27576.0,93753858,9177334,23546204,2862988,41191670
12,144480,28334.7,96333421,9620778,24976737,3045330,41440314
13,144480,36053.5,122577137,11908559,35099958,4252641,52504159
14,144480,27582.2,93775822,9219167,24082708,2859724,40287806
15,144480,27781.9,94452000,9450536,24748866,2908919,40308082
16,144480,28317.3,96275029,9443132,24926160,2924553,41570354
17,144480,27591.6,93805629,9285888,24536832,2833110,39965078
18,144480,28054.6,95380611,9447032,24937615,2880421,40900525
19,144480,28677.0,97498122,9520927,25637553,2901557,42159243
20,144480,30512.6,103738570,10195349,27803793,3128104,44343548
21,144480,28129.1,95634381,9568980,25219895,2881406,40727177
22,144480,29657.3,100829723,9681441,27078579,2957992,43090165
23,144480,27631.8,93943632,9260822,24837913,2806940,39939053
24,144480,27936.1,94979156,9426026,25220556,2864668,40477571
25,144480,29320.5,99685144,9660274,26604512,2895422,42480680
26,144480,33407.9,113583355,11111148,32336471,3663279,48272317
27,144480,28084.0,95481333,9441505,25420088,2834360,40605109
28,144480,28388.7,96516004,9522159,25548417,2841272,41064588
29,144480,29563.3,100510089,9770122,26885849,2995456,43055375
30,144480,32383.3,110098976,10556851,30188731,3318704,47287057
31,144480,35434.9,120474349,11669504,34418518,3847409,51487126
32,144480,34213.4,116320126,11421301,33018746,3392459,49616069
33,144480,32581.5,110772028,10570114,31583381,3183923,46498671
34,144480,30548.1,103858919,9990367,28428504,3102525,44145966
35,144480,29794.2,101295891,9848950,27453674,2940681,43110926
36,144480,34441.1,117096136,12405911,32805109,3470379,50469453
37,144480,28557.9,97092413,9438596,25900435,2829735,41498623
38,144480,40396.7,137345020,13088443,42539414,4405205,57475576
39,144480,29825.7,101403909,9915272,27353114,2904685,42887661
40,144480,31378.0,106680508,10253058,28910494,3092711,45549076
41,144480,28853.2,98096735,9468838,26412909,2886509,41555899
42,144480,32730.4,111279960,10926695,31098906,3456614,48021062
43,144480,29872.4,101561669,9666349,27152791,2894484,43590822
44,144480,34619.7,117702390,11662492,33735380,3759320,49736097
45,144480,30213.4,102720562,9723428,27670625,3011421,44161087
46,144480,31020.1,105464702,10066140,28504763,3060111,45488694
47,144480,29663.3,100850395,9534495,26732288,2883508,43553955
48,144480,29711.6,101015159,9668241,27367574,2944068,43049314
49,144480,29295.2,99598277,9546256,26990810,2866820,42347113
50,144480,36313.2,123460729,10844534,36401099,3477079,53127220
51,144480,30293.8,102991675,9951645,28269054,2891377,43530900
52,144480,36533.8,124210055,12160283,36278229,3963867,52311361
53,144480,30401.8,103357980,9837411,28399287,2973151,43916214
54,144480,32302.1,109821978,10429268,30972724,3128676,46508271
55,144480,31570.0,107331908,10379523,29914595,3124296,45499039
56,144480,36177.6,122998261,11492095,35840181,3556315,52214016
57,144480,29840.3,101451713,9883861,27572838,2968093,43031801
58,144480,30190.5,102642943,9775372,28241642,2979326,43431300
59,144480,29892.5,101629597,9679498,27409392,2897692,43471051
60,144480,29771.5,101218972,9679887,27302747,2908395,43198317
61,144480,29265.6,99498623,9557898,26879264,2856358,42408628
62,144480,28776.2,97833470,9551333,26483405,2831146,41618635
63,144480,30648.0,104199658,9738000,27843684,2938745,45359478
64,144480,29559.1,100497302,9623806,27252648,2896473,42752679
65,144480,28821.8,97988238,9509980,26547919,2845529,41683723
66,144480,30262.1,102886690,9916866,27816768,2920448,43722091
67,144480,29921.9,101729326,10020840,28197449,2965126,43057175
68,144480,29689.5,100940744,9677820,27399805,2915139,42911934
69,144480,30669.3,104271135,9986401,28363836,3014514,44367000
70,144480,29816.9,101372802,9476750,27165655,2874640,43667406
71,144480,31330.7,106520541,10010549,29176012,3040618,45565376
72,144480,32684.9,111124512,11142394,31040234,3230654,46996962
73,144480,29815.4,101367206,9534171,26933287,2824356,44613435
74,144480,32221.4,109548847,10743701,30570867,3101455,46801791
75,144480,30376.4,103275989,9779006,27979185,2946348,44244921
76,144480,34970.6,118895654,10857117,35908624,3384359,48401324
77,144480,28820.9,97985484,9503042,26610911,2849442,41647828
78,144480,31426.0,106843201,10144436,29855314,3116371,45018013
79,144480,30054.1,102178630,9676045,27963872,2905670,43609843
80,144480,31142.2,105879941,10197858,29828151,3057578,44710674
81,144480,31740.1,107910325,10002006,29948442,3016734,45959462
82,144480,32201.9,109481958,10346329,30923197,3136229,46287475
83,144480,31446.9,106914196,10060558,29617091,2935832,45305660
84,144480,29772.0,101220346,9807041,27651067,2879122,43089995
85,144480,34549.1,117463126,10870891,33534871,3247799,49698072
86,144480,31507.9,107121457,10270360,29592719,3039785,45634833
87,144480,31505.7,107114719,10213038,30015616,3144599,45433303
88,144480,37519.9,127564566,12479785,37833214,3815320,54624041
89,144480,30114.3,102382602,9787225,28259717,2882163,43478615
90,144480,30387.7,103314103,9652663,28043773,2891168,44248806
91,144480,31306.4,106437436,9975610,29608074,3002389,44734872
92,144480,37802.5,128524148,12035353,38227567,3797228,55911724
93,144480,33687.4,114533624,11184989,32446057,3163459,48323992
94,144480,31095.3,105719488,9845447,28964876,2935067,45331710
95,144480,30357.0,103207167,9764149,28265994,2920332,44059325
96,144480,32208.4,109504755,10478795,30958158,3151252,46409352
97,144480,31346.0,106571028,9800317,29495852,2940703,45514008
98,144480,30213.6,102717550,9705623,28120564,2923840,43845717
99,144480,34359.9,116818217,11217008,33357384,3480501,49726664
100,144480,32478.3,110421667,10407110,31061759,4448097,46441045
101,144480,31050.0,105564461,10140579,29882806,3011210,44581506
102,144480,31546.0,107250920,11051074,29230431,2981480,45266530
103,144480,33374.7,113469866,10860998,32713377,3344143,48224790
104,144480,30876.9,104974895,9832412,29003719,2931233,44657271
105,144480,31454.1,106939571,10513325,30230123,3053343,44864783
106,144480,30343.0,103161774,9676964,28482664,2877976,43839985
107,144480,29394.0,99934432,9553663,27619072,2832887,42404280
108,144480,30016.0,102048926,9723522,28122048,2920042,43727994
109,144480,31588.7,107396517,10111345,30399422,3024655,45454777
110,144480,31368.4,106646086,9860653,29414006,2920348,45634588
111,144480,37248.4,126640732,12199884,38260981,4545666,52837203
112,144480,30349.5,103182917,9775710,28688492,2896520,43940180
113,144480,31030.1,105499156,9902073,29533120,3000573,44769390
114,144480,30437.4,103483723,9927185,28508357,2985003,44085986
115,144480,32124.4,109219591,10217599,30477328,3054985,46382460
116,144480,30048.5,102160548,9656737,28454493,2915858,43295628
117,144480,29942.4,101800671,9668903,27991895,2880563,43484995
118,144480,30488.3,103656458,9745333,28428428,2912824,44212094
119,144480,31964.5,108674032,10343456,30597753,3106524,45941569
120,144480,31022.2,105470616,9854315,29473369,2948456,44913978
121,144480,29793.8,101295049,9666320,28014688,2854631,42980572
122,144480,30573.3,103943634,9876246,28668346,2875951,44255829
123,144480,32088.7,109097364,10374694,31405030,3118500,46155691
124,144480,30244.5,102826111,9784484,28575879,2931126,43574795
125,144480,36736.9,124901608,11800794,37167527,3774034,52799923
126,144480,35803.1,121726692,11603920,35617268,3664624,51402476
127,144480,34915.9,118709714,11269837,34269174,3538581,50499326
128,144480,30870.9,104954577,9946462,29745223,3001423,44233414
129,144480,30335.5,103137601,9791429,28987732,2873732,43482276
130,144480,31221.8,106149492,9979081,30000760,2965345,44642993
131,144480,31775.8,108032484,10123135,30978068,3172574,45420491
132,144480,32351.2,109989796,10470467,31813395,3344232,46325102
133,144480,32726.7,111266530,10006018,31754085,2982205,47102705
134,144480,31415.3,106806902,10086124,30116019,2924261,44987856
135,144480,32343.3,109963136,10038505,31561539,2950457,46240375
136,144480,30423.0,103432569,9805863,28757852,2905678,43852643
137,144480,37678.2,128102276,12364975,38387515,3917208,53889475
138,144480,30266.1,102899317,9673390,28474542,2876091,43769639
139,144480,33746.2,114732623,10851940,33613115,3264341,47856746
140,144480,31044.6,105547186,9793395,30122277,2897576,44561195
141,144480,30801.4,104720053,10056103,29670565,3025256,44270603
