frame,particulas,parede_us,cic_total,cic_vizinhanca,cic_transicao,cic_update,cic_movimento,tp_portao_visto,tp_portao_passou,cic_tp_conveccao,cic_tp_calor,cic_tp_mudanca,conf_particulas,conf_celulas,conf_marcas
1,144480,22208.2,75507200,9308554,27536478,2803305,14173358,144480,53393,4109360,9032193,1459225,8428,75852,2600640
2,144480,24283.1,82560228,9224268,27926058,2862198,20670302,144480,53847,4218321,9125875,1478264,8540,76860,2600640
3,144480,34429.8,117060538,8938464,29767286,3209606,53397552,144480,53773,4446740,9352834,1481323,10733,102958,2600640
4,144480,24402.8,82969044,9176430,28668863,2798540,20553026,144480,53616,4539933,9265088,1491525,10706,107166,2600640
5,144480,33800.4,114919796,9050596,28849523,2829756,51850665,144480,53567,4704808,9030745,1676590,14996,161467,2600640
6,144480,30357.5,103214616,9236338,29444029,2779623,39524417,144480,53545,5094099,9109105,1622074,18155,204579,2600640
7,144480,29455.7,100148870,9140186,29050130,2799937,36627001,144480,53659,5002253,9162109,1551269,17875,205493,2600640
8,144480,30760.6,104582844,9128422,30228883,2936094,38641569,144480,53673,5141214,9637528,1597291,19998,234579,2600640
9,144480,30677.7,104302718,9545670,30043041,2882914,38507605,144480,53792,5313392,9395589,1565279,21173,254197,2600640
10,144480,30989.6,105363076,9889036,30989751,2888178,37749035,144480,53418,5910834,9435325,1544097,21719,262654,2600640
11,144480,30984.9,105344883,9396172,30964910,3112718,37891766,144480,53731,5793926,9431621,1655508,23525,290926,2600640
12,144480,30007.6,102024718,9103738,29722000,2815185,37381516,144480,53683,5522569,9236103,1515459,24431,307843,2600640
13,144480,30011.2,102035564,9252726,29797796,2809892,37059978,144480,53598,5443234,9219318,1519024,25235,320191,2600640
14,144480,30556.2,103888802,9179898,30529164,2832977,37894527,144480,53605,5799734,9535179,1590763,26375,338384,2600640
15,144480,30461.5,103566689,9170038,30661264,2969981,37456230,144480,53752,5581468,9732056,1686410,27385,354909,2600640
16,144480,30911.5,105098352,9058246,30958662,2834739,38085004,144480,53750,5549758,9522111,1925986,28311,368393,2600640
17,144480,31425.0,106840985,9853979,30787396,2817527,39164370,144480,53658,5816966,9711799,1615179,29108,383244,2600640
18,144480,31117.9,105799228,10261710,30756252,2798788,38027501,144480,53761,5678192,9827451,1528287,30201,398296,2600640
19,144480,30318.3,103081948,9229606,30278790,2826346,37483332,144480,53742,5696685,9381135,1508257,30760,408232,2600640
20,144480,31112.9,105781548,9274724,31587363,2840936,38242231,144480,53907,5984121,9868411,1646865,31249,418081,2600640
21,144480,30509.8,103732606,9334666,30383199,2829230,37734245,144480,53446,5800454,9460837,1515865,31962,429091,2600640
